de;12;88;8;81;2
être;11;77;7;69;3
la;9;67;6;63;1
les;9;62;3;61;3
l;7;61;5;49;1
et;10;53;5;54;2
des;6;46;7;51;2
à;5;56;5;45;1
avoir;7;46;4;47;3
le;7;48;3;53;1
que;3;44;4;47;4
en;5;43;2;47;2
d;6;37;1;40;3
qui;11;30;4;38;2
dans;5;41;1;29;0
il;4;41;3;32;2
pour;2;25;3;37;0
nous;3;20;3;38;1
une;4;30;1;27;2
ne;2;32;2;24;0
un;2;24;1;28;1
ce;4;16;3;33;1
qu;2;18;3;26;1
c;3;19;2;23;1
je;2;20;3;15;4
faire;3;23;2;21;0
du;2;23;2;18;1
pas;2;22;3;18;0
plus;0;16;1;18;1
pouvoir;0;16;3;18;1
mais;3;15;2;19;1
au;0;24;2;12;0
cette;1;17;4;14;1
on;3;11;1;16;1
aussi;3;12;1;15;1
ou;2;16;0;14;0
leur;0;16;0;13;0
par;1;14;2;10;0
y;3;13;1;14;1
vous;2;5;2;15;1
devoir;1;13;0;15;1
s;0;12;1;14;0
ces;1;12;1;11;1
se;2;12;1;12;0
vouloir;1;6;1;14;1
sur;2;9;2;9;0
elles;0;11;0;5;1
elle;1;10;2;9;0
tout;1;7;0;14;1
aux;1;10;1;8;0
tous;5;8;0;8;0
toutes;4;8;0;8;0
j;0;6;1;9;2
bien;0;11;0;5;3
si;0;8;1;5;1
notre;0;11;0;6;0
dire;1;7;1;8;1
comme;2;8;1;4;1
savoir;1;7;1;8;0
où;1;6;0;9;0
même;1;13;0;3;0
là;1;2;2;11;0
aujourd_hui;2;5;1;9;0
non;0;6;1;7;0
falloir;0;10;1;3;0
avec;0;8;1;4;0
votre;1;2;0;6;0
leurs;0;7;1;3;0
contre;0;6;0;6;0
autres;1;6;0;6;0
ceux;1;2;1;7;1
souvent;1;5;1;4;0
sans;0;9;0;2;0
car;1;1;1;8;0
m;0;5;0;4;1
entre;0;4;0;5;1
dont;2;4;0;4;0
donc;0;3;0;7;0
alors;0;4;0;6;0
toujours;2;2;0;5;0
parce_que;0;3;0;5;0
ainsi;0;2;0;7;0
surtout;0;2;1;5;0
sa;0;2;0;5;0
pourquoi;0;3;0;4;0
ici;0;5;0;2;1
encore;0;1;0;6;0
chacun;0;3;0;5;0
celles;0;2;0;3;3
celle;0;4;0;3;0
cela;0;4;0;3;0
autre;1;5;0;1;0
son;1;4;0;1;0
rien;0;4;0;2;0
nos;1;3;0;2;0
mme;0;3;0;3;0
devant;0;5;0;2;0
depuis;0;5;0;2;0
celui;0;4;0;1;0
beaucoup;0;1;0;6;0
parmi;0;5;0;0;1
ni;0;3;0;0;0
madame;0;3;0;2;0
enfin;1;5;0;0;0
dès;0;3;0;2;0
d_abord;2;1;0;3;0
chaque;2;0;0;2;0
trop;0;2;1;1;0
toute;1;2;0;2;0
mêmes;0;1;0;2;0
force;0;1;0;3;1
cet;0;2;0;3;0
certaines;0;3;0;1;1
certain;0;4;0;1;0
avant;1;1;0;3;0
aucune;0;0;0;3;0
voilà;0;2;0;1;0
très;0;2;0;2;0
tant;1;1;0;2;0
ses;0;2;0;1;0
quand;0;1;0;2;0
personne;0;3;1;0;0
monsieur;0;3;0;1;0
maintenant;0;2;0;1;1
lorsque;0;3;0;1;0
laquelle;0;3;0;1;0
jusqu_à;1;2;0;1;0
ils;0;2;0;1;1
deux;0;2;0;2;0
certains;0;1;1;2;0
c_est_à_dire;0;1;0;3;0
an;0;4;0;0;0
t;0;1;0;2;0
sous;0;1;0;2;0
soi;0;1;0;2;0
quelques;0;1;0;2;0
puisque;0;1;0;2;0
puis;1;1;0;1;0
point;0;3;0;0;0
plusieurs;0;2;0;1;0
peu;0;0;0;2;1
pendant;0;3;0;0;0
partout;0;1;0;2;0
parfois;1;2;0;0;0
moi;0;1;0;2;0
me;0;2;0;1;0
fort;0;1;0;2;0
eh;0;1;0;2;0
davantage;0;0;1;2;0
comment;0;2;0;1;0
chacune;0;0;0;3;0
bon;0;1;0;2;0
autant;0;2;0;1;0
après;0;1;0;1;1
20;0;3;0;0;0