"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;5;7;7;7;7;7;7;7
"2";3;5;6;8;8;13;13;17;17
"3";3;5;6;8;8;13;13;17;17
"4";3;5;6;9;9;9;9;9;9
"5";3;4;4;4;10;10;15;15;19
"6";3;4;4;4;10;10;15;15;19
"7";3;5;6;8;8;13;13;17;17
"8";3;5;6;8;8;13;13;17;17
"9";3;5;6;8;8;12;12;12;12
"10";3;4;4;4;10;10;15;15;19
"11";3;4;4;4;10;10;14;14;14
"12";3;4;4;4;10;10;14;14;14
"13";3;4;4;4;10;10;15;15;18
"14";3;4;4;4;10;10;15;15;19
"15";3;5;6;9;9;9;9;9;9
"16";3;4;4;4;10;10;15;15;19
"17";3;4;4;4;10;10;15;15;19
"18";3;4;4;4;10;10;14;14;14
"19";3;5;6;8;8;13;13;17;17
"20";3;4;4;4;10;10;15;15;19
"21";3;4;4;4;10;10;15;15;18
"22";3;4;4;4;10;10;15;15;19
"23";3;4;4;4;10;10;15;15;19
"24";3;5;6;8;8;13;13;17;17
"25";3;4;4;4;10;10;15;15;19
"26";3;5;6;8;8;12;12;12;12
"27";3;5;6;8;8;13;13;17;17
"28";3;4;4;4;10;10;15;15;19
"29";3;4;4;4;10;10;15;15;19
"30";3;5;6;8;8;12;12;12;12
"31";3;5;6;8;8;12;12;12;12
"32";3;5;6;8;8;12;12;12;12
"33";3;5;6;8;8;12;12;12;12
"34";3;5;6;8;8;12;12;12;12
"35";3;5;6;8;8;12;12;12;12
"36";3;5;6;8;8;12;12;12;12
"37";3;5;6;8;8;13;13;17;17
"38";3;5;6;8;8;13;13;17;17
"39";3;5;6;8;8;12;12;12;12
"40";3;5;6;8;8;13;13;17;17
"41";3;4;4;4;10;10;15;15;19
"42";3;4;4;4;10;10;15;15;19
"43";3;5;6;8;8;12;12;12;12
"44";3;5;6;8;8;12;12;12;12
"45";3;5;6;8;8;13;13;17;17
"46";3;4;4;4;11;11;11;11;11
"47";3;5;6;8;8;13;13;17;17
"48";3;5;6;8;8;12;12;12;12
"49";3;5;6;8;8;13;13;17;17
"50";3;4;4;4;10;10;15;15;19
"51";3;4;4;4;10;10;15;15;18
"52";3;5;7;7;7;7;7;7;7
"53";3;5;6;8;8;13;13;17;17
"54";3;4;4;4;10;10;15;15;19
"55";3;4;4;4;11;11;11;11;11
"56";3;4;4;4;10;10;15;15;19
"57";3;5;6;8;8;13;13;17;17
"58";3;5;6;8;8;12;12;12;12
"59";3;5;6;8;8;13;13;17;17
"60";3;5;6;8;8;13;13;17;17
"61";3;5;6;8;8;13;13;17;17
"62";3;4;4;4;11;11;11;11;11
"63";3;4;4;4;10;10;15;15;19
"64";3;4;4;4;10;10;15;15;19
"65";3;4;4;4;10;10;15;15;19
"66";3;4;4;4;10;10;15;15;19
"67";3;4;4;4;10;10;15;15;19
"68";3;4;4;4;10;10;15;15;19
"69";3;4;4;4;10;10;15;15;18
"70";3;5;6;8;8;13;13;17;17
"71";3;5;6;8;8;13;13;17;17
"72";3;4;4;4;11;11;11;11;11
"73";3;4;4;4;10;10;14;14;14
"74";3;5;6;8;8;13;13;17;17
"75";3;5;6;8;8;13;13;17;17
"76";3;4;4;4;10;10;15;15;19
"77";3;4;4;4;10;10;15;15;19
"78";3;4;4;4;11;11;11;11;11
"79";3;4;4;4;10;10;15;15;19
"80";3;5;6;8;8;13;13;16;16
"81";3;5;6;8;8;13;13;17;17
"82";3;4;4;4;10;10;15;15;19
"83";3;4;4;4;10;10;14;14;14
"84";3;5;6;8;8;13;13;17;17
"85";3;4;4;4;10;10;15;15;19
"86";3;4;4;4;10;10;15;15;19
"87";3;5;6;8;8;12;12;12;12
"88";3;4;4;4;10;10;15;15;18
"89";3;5;6;8;8;12;12;12;12
"90";3;4;4;4;10;10;15;15;19
"91";3;4;4;4;10;10;15;15;18
"92";3;4;4;4;10;10;15;15;18
"93";3;4;4;4;11;11;11;11;11
"94";3;4;4;4;10;10;15;15;18
"95";3;4;4;4;10;10;15;15;19
"96";3;4;4;4;10;10;15;15;19
"97";3;5;6;8;8;13;13;17;17
"98";3;4;4;4;11;11;11;11;11
"99";3;4;4;4;10;10;15;15;18
"100";3;4;4;4;10;10;15;15;19
"101";3;5;6;9;9;9;9;9;9
"102";3;5;6;8;8;12;12;12;12
"103";3;4;4;4;10;10;15;15;19
"104";3;4;4;4;10;10;14;14;14
"105";3;4;4;4;10;10;15;15;19
"106";3;4;4;4;10;10;15;15;19
"107";3;4;4;4;10;10;15;15;19
"108";3;4;4;4;10;10;15;15;19
"109";3;4;4;4;10;10;15;15;18
"110";3;4;4;4;10;10;15;15;19
"111";3;4;4;4;10;10;14;14;14
"112";3;4;4;4;10;10;15;15;19
"113";2;2;2;2;2;2;2;2;2
"114";3;4;4;4;10;10;15;15;19
"115";3;5;6;8;8;12;12;12;12
"116";3;4;4;4;10;10;15;15;19
"117";3;4;4;4;10;10;15;15;18
"118";3;4;4;4;10;10;15;15;19
"119";3;4;4;4;10;10;15;15;18
"120";3;4;4;4;11;11;11;11;11
"121";3;4;4;4;10;10;14;14;14
"122";3;4;4;4;10;10;15;15;19
"123";3;4;4;4;11;11;11;11;11
"124";3;5;6;8;8;13;13;17;17
"125";3;4;4;4;10;10;14;14;14
"126";3;4;4;4;10;10;14;14;14
"127";3;4;4;4;10;10;15;15;19
"128";3;4;4;4;10;10;15;15;19
"129";3;4;4;4;10;10;14;14;14
"130";3;4;4;4;10;10;14;14;14
"131";3;5;6;8;8;13;13;17;17
"132";3;4;4;4;10;10;14;14;14
"133";3;4;4;4;11;11;11;11;11
"134";0;0;0;0;0;0;0;0;0
"135";3;5;6;8;8;13;13;17;17
"136";3;5;6;8;8;13;13;17;17
"137";3;5;6;9;9;9;9;9;9
"138";3;4;4;4;10;10;14;14;14
"139";3;5;6;8;8;13;13;17;17
"140";2;2;2;2;2;2;2;2;2
"141";2;2;2;2;2;2;2;2;2
"142";3;5;6;8;8;13;13;17;17
"143";3;4;4;4;10;10;15;15;18
"144";3;4;4;4;10;10;14;14;14
"145";2;2;2;2;2;2;2;2;2
"146";2;2;2;2;2;2;2;2;2
"147";3;4;4;4;11;11;11;11;11
"148";3;5;6;8;8;13;13;17;17
"149";3;5;6;8;8;13;13;17;17
"150";3;4;4;4;11;11;11;11;11
"151";2;2;2;2;2;2;2;2;2
"152";3;5;6;8;8;13;13;17;17
"153";3;5;6;8;8;12;12;12;12
"154";3;4;4;4;11;11;11;11;11
"155";3;5;6;8;8;12;12;12;12
"156";3;5;6;8;8;13;13;17;17
"157";3;5;6;8;8;13;13;17;17
"158";3;5;6;8;8;13;13;16;16
"159";3;5;6;8;8;12;12;12;12
"160";3;5;6;8;8;13;13;17;17
"161";3;5;6;8;8;13;13;17;17
"162";3;5;6;8;8;13;13;17;17
"163";3;4;4;4;11;11;11;11;11
"164";3;4;4;4;10;10;15;15;19
"165";3;4;4;4;10;10;15;15;19
"166";3;4;4;4;10;10;15;15;19
"167";3;4;4;4;10;10;14;14;14
"168";3;5;6;8;8;12;12;12;12
"169";3;4;4;4;11;11;11;11;11
"170";3;5;6;8;8;12;12;12;12
"171";3;5;6;8;8;12;12;12;12
"172";3;5;7;7;7;7;7;7;7
"173";3;5;6;8;8;13;13;17;17
"174";3;5;6;8;8;13;13;17;17
"175";3;4;4;4;10;10;15;15;18
"176";3;5;6;8;8;13;13;17;17
"177";3;5;6;8;8;13;13;17;17
"178";3;5;6;8;8;12;12;12;12
"179";3;5;6;8;8;12;12;12;12
"180";3;5;6;8;8;13;13;17;17
"181";3;5;6;8;8;13;13;16;16
"182";3;4;4;4;10;10;15;15;19
"183";2;2;2;2;2;2;2;2;2
"184";3;5;6;8;8;13;13;17;17
"185";3;4;4;4;10;10;15;15;18
"186";3;5;7;7;7;7;7;7;7
"187";3;5;7;7;7;7;7;7;7
"188";3;5;7;7;7;7;7;7;7
"189";3;5;7;7;7;7;7;7;7
"190";3;5;6;8;8;13;13;17;17
"191";3;5;6;8;8;13;13;17;17
"192";3;5;6;8;8;13;13;17;17
"193";3;4;4;4;11;11;11;11;11
"194";3;4;4;4;10;10;15;15;19
"195";3;4;4;4;10;10;15;15;19
"196";3;5;6;8;8;13;13;17;17
"197";3;5;6;8;8;13;13;17;17
"198";3;5;6;8;8;13;13;17;17
"199";3;5;6;8;8;13;13;17;17
"200";3;5;6;8;8;12;12;12;12
"201";3;5;6;8;8;12;12;12;12
"202";3;5;6;8;8;12;12;12;12
"203";3;5;6;8;8;13;13;17;17
"204";2;2;2;2;2;2;2;2;2
"205";2;2;2;2;2;2;2;2;2
"206";2;2;2;2;2;2;2;2;2
"207";2;2;2;2;2;2;2;2;2
"208";3;5;6;8;8;12;12;12;12
"209";3;5;6;8;8;12;12;12;12
"210";3;4;4;4;10;10;15;15;19
"211";2;2;2;2;2;2;2;2;2
"212";3;5;6;8;8;13;13;17;17
"213";3;5;6;8;8;12;12;12;12
"214";3;5;6;8;8;13;13;17;17
"215";3;5;6;8;8;13;13;17;17
"216";3;5;7;7;7;7;7;7;7
"217";3;4;4;4;10;10;14;14;14
"218";3;5;6;8;8;13;13;17;17
"219";3;5;6;8;8;13;13;17;17
"220";3;5;6;8;8;13;13;17;17
"221";3;5;6;8;8;13;13;16;16
"222";2;2;2;2;2;2;2;2;2
"223";3;5;6;8;8;12;12;12;12
"224";3;5;7;7;7;7;7;7;7
"225";3;4;4;4;10;10;15;15;19
"226";2;2;2;2;2;2;2;2;2
"227";3;5;6;8;8;13;13;17;17
"228";3;5;6;8;8;13;13;17;17
"229";3;4;4;4;11;11;11;11;11
"230";3;5;6;8;8;13;13;17;17
"231";3;5;6;8;8;13;13;17;17
"232";3;5;6;8;8;13;13;17;17
"233";3;5;6;8;8;13;13;17;17
